epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
59,1302.15,0.864,0.61291,1.08344,0.95975,0.96667,0.97933,0.81707,0.50858,1.03508,0.61952,0.0008516,0.0008516,0.0008516
60,1324.58,0.84568,0.63475,1.07569,0.9942,0.96667,0.99312,0.82981,0.48462,1.31759,0.61554,0.0008318,0.0008318,0.0008318
61,1344.41,0.86036,0.61954,1.0586,0.96729,0.98602,0.99403,0.80008,0.49243,1.54252,0.61466,0.000812,0.000812,0.000812
62,1366.98,0.82583,0.61143,1.05225,0.99181,0.96667,0.99312,0.86543,0.38645,0.62771,0.60129,0.0007922,0.0007922,0.0007922
63,1387.8,0.84534,0.60245,1.0648,0.96764,0.99678,0.99306,0.79366,0.55191,1.46196,0.64897,0.0007724,0.0007724,0.0007724
64,1408.65,0.81121,0.63568,1.05592,1,0.9608,0.99227,0.82284,0.53026,1.99893,0.62578,0.0007526,0.0007526,0.0007526
65,1429.2,0.80175,0.58858,1.02627,1,0.99633,0.995,0.84275,0.52093,0.82766,0.64549,0.0007328,0.0007328,0.0007328
66,1449.92,0.81191,0.60152,1.05062,0.98231,0.96667,0.99147,0.83043,0.5182,0.81416,0.63006,0.000713,0.000713,0.000713
67,1470.58,0.84495,0.61274,1.05129,0.99444,0.96667,0.99312,0.87084,0.40416,0.78969,0.59143,0.0006932,0.0006932,0.0006932
68,1492.55,0.78487,0.53898,1.03732,0.95878,0.96667,0.98535,0.8718,0.39164,1.08111,0.58703,0.0006734,0.0006734,0.0006734
69,1514.26,0.81942,0.5994,1.06278,0.9665,0.93333,0.98971,0.82796,0.47586,1.78917,0.6115,0.0006536,0.0006536,0.0006536
70,1536.55,0.81618,0.59203,1.03479,1,0.96595,0.99147,0.85475,0.46084,0.86332,0.60982,0.0006338,0.0006338,0.0006338
71,1556.31,0.84811,0.60866,1.04284,0.99061,0.96667,0.99227,0.85215,0.48269,0.55369,0.61212,0.000614,0.000614,0.000614
